User_id,Date,Campaign_id
xLIvq2PSdnn5osHg,2017-08-14T16:35:37Z,Campaign_39
tMYkHda0MmRU2Gmu,2017-09-29T09:21:05Z,Campaign_22
yCmVrkukrY9qU0Wb,2017-09-05T14:00:14Z,
gG7r91qZBIXykj1s,2017-08-09T10:12:37Z,
3z6yjCbwcyL3qBXK,2017-09-21T17:28:11Z,
phVWQxOAK2QxYisz,2017-09-28T04:29:47Z,
roba1se1GwsTD8IK,2017-09-24T16:58:52Z,Campaign_8
0yadyddUqsOjqUu2,2017-09-01T19:16:07Z,
obU0szrugP588L70,2017-09-19T05:29:35Z,
jny8tSWpCgaq5WHS,2017-09-10T05:37:15Z,
0czNh4Z0WnfjQ9jx,2017-09-12T13:35:48Z,Campaign_71
EeULA0ZxXPqa4h0u,2017-09-14T21:48:11Z,Campaign_17
8rIarWEC7DNQIuuH,2017-09-14T07:03:16Z,
WJITihfb0seayB3N,2017-08-19T01:45:38Z,
vHMGaCzvGn4mZW0y,2017-08-04T22:16:07Z,Campaign_91
WKygVodd0oCotuCw,2017-09-18T12:38:05Z,Campaign_81
ZU3JNgHi7zbiAb8F,2017-09-21T20:09:03Z,Campaign_44
WsHrgzgQNdt0b8y7,2017-08-06T19:04:17Z,
ada4j5zXaOThZxEY,2017-10-01T00:37:30Z,Campaign_40
D1xT28nKoXHMX0ov,2017-08-07T22:42:41Z,
i58jXyQRe8TKvK9h,2017-08-07T20:07:31Z,
XXx2yAhyrcxABqmR,2017-09-20T13:19:45Z,
ViPuGMICUJQBthZk,2017-08-17T16:21:35Z,Campaign_85
ze00Oh96q0dErnxM,2017-09-13T18:04:32Z,
1il3TfR7GfjHkaYQ,2017-09-22T05:02:38Z,
HT8ZkNRrrn7sdIPT,2017-08-31T12:45:25Z,Campaign_6
6miPKjzCfAkKmsX1,2017-08-23T09:19:25Z,Campaign_46
WyOl0ro6GHKsP0eF,2017-08-16T23:00:49Z,Campaign_18
S9ihZ9Wtnj1nKJWB,2017-08-31T02:11:08Z,
RK1n2TjiyXY04uKb,2017-08-29T20:03:35Z,Campaign_62
s2dL9mqdnGIZiGxi,2017-09-08T18:37:13Z,
YbPwP4LO5G5gpzIT,2017-09-04T08:23:36Z,
spBmTmXPL0ZCSHCb,2017-09-15T23:36:29Z,
JPNXvhAOWR27mMX7,2017-09-29T07:40:06Z,
diJ80UCAxPqTaLrY,2017-09-19T07:10:40Z,Campaign_35
j3ufRlZKShFX04mA,2017-09-18T14:53:03Z,
4sSJo4wSZnFS79w4,2017-09-05T17:05:14Z,Campaign_55
f4vtP4QmMs4sQoAd,2017-08-13T02:56:50Z,Campaign_96
YulacnMmdt4fEpIr,2017-10-01T03:07:18Z,
nBrNRa2L4OpAfO2j,2017-09-26T23:44:41Z,Campaign_70
tHVAmAAlPlJMP8XB,2017-08-12T19:12:15Z,
duK9DJ5cTvQ2qVAm,2017-09-26T22:52:40Z,Campaign_9
kKdd0SslDdljFqt0,2017-09-30T11:13:44Z,Campaign_69
DdVfWGJPZ9mCzQQz,2017-09-02T06:13:08Z,Campaign_83
Wf3bs2A5QRgwKYxj,2017-08-08T17:01:21Z,
Y84tOQRk8Hnklyih,2017-08-29T23:02:38Z,Campaign_31
mSI3w8Rqd1N7eboQ,2017-08-30T22:50:21Z,Campaign_39
0mQlQPSePZpeunQh,2017-09-21T16:52:00Z,Campaign_95
MNLcezF0veWex06u,2017-09-10T18:40:13Z,Campaign_36
4fh6dUVCSXQDVe1C,2017-09-15T00:09:24Z,
0RzDDjvhEU2p7NDd,2017-09-28T11:36:02Z,Campaign_85
XoenMzTbK0sdYF43,2017-09-11T16:45:04Z,
F1P1SEWslq2dyNVW,2017-08-14T17:56:08Z,
PEcDCAjv2aLYH8wU,2017-09-20T08:49:25Z,
aUFKa49XaAvKZCyc,2017-08-06T09:17:15Z,
GIQKyvqXsyqUJHWi,2017-08-10T22:14:08Z,
FxDykHXMkMWkmEku,2017-08-20T17:41:26Z,Campaign_16
2k2miM3irE2xUFWY,2017-08-11T05:24:13Z,Campaign_30
LM8QsBx6RAufxIES,2017-08-03T13:02:43Z,
9r2YEHFJMDoLAtb5,2017-08-21T14:35:51Z,Campaign_5
l6ZDjxAEuHIrnO2I,2017-08-31T00:22:59Z,
Tpv7G1QH6wlZux9Q,2017-09-23T18:17:55Z,
8WabYrIkmszBt2Ka,2017-08-10T10:42:25Z,Campaign_14
ORU1wLlOnBLTshvI,2017-08-21T11:28:34Z,Campaign_45
uYihVFLTR1z5Ul7k,2017-09-14T14:01:16Z,
U0Ie8yoZjM1VvAED,2017-09-11T15:03:26Z,Campaign_27
vrTxGQ4NUYDcXfuQ,2017-09-03T09:47:41Z,Campaign_45
